2.984s NetworkManager-wait-online.service                   
2.499s systemd-suspend.service                              
1.917s abrtd.service                                        
1.546s systemd-udev-settle.service                          
1.396s plymouth-switch-root.service                         
1.274s plymouth-quit-wait.service                           
1.274s plymouth-quit.service                                
1.211s initrd-switch-root.service                           
 822ms snapd.service                                        
 730ms tlp.service                                          
 640ms unbound-anchor.service                               
 638ms systemd-logind.service                               
 634ms lvm2-monitor.service                                 
 499ms firewalld.service                                    
 370ms upower.service                                       
 327ms dnf-makecache.service                                
 268ms sssd.service                                         
 267ms udisks2.service                                      
 262ms dracut-initqueue.service                             
 260ms akmods.service                                       
 233ms systemd-udevd.service                                
 190ms systemd-journald.service                             
 165ms dev-nvme0n1p5.swap                                   
 159ms dev-hugepages.mount                                  
 159ms dev-mqueue.mount                                     
 158ms sys-kernel-debug.mount                               
 158ms kmod-static-nodes.service                            
 158ms nfs-convert.service                                  
 153ms ModemManager.service                                 
 149ms systemd-tmpfiles-clean.service                       
 127ms avahi-daemon.service                                 
 124ms bluetooth.service                                    
 123ms auditd.service                                       
 114ms rtkit-daemon.service                                 
 112ms thermald.service                                     
 111ms systemd-journal-flush.service                        
 107ms user@1000.service                                    
  98ms tlp-sleep.service                                    
  90ms initrd-parse-etc.service                             
  89ms dbus-broker.service                                  
  70ms polkit.service                                       
  65ms systemd-vconsole-setup.service                       
  63ms chronyd.service                                      
  59ms systemd-udev-trigger.service                         
  58ms smartd.service                                       
  43ms var-lib-snapd-snap-core18-1265.mount                 
  42ms var-lib-snapd-snap-snapd-5306.mount                  
  37ms var-lib-snapd-snap-core-8039.mount                   
  35ms var-lib-snapd-snap-gotop\x2dcjbassi-3.mount          
  32ms systemd-tmpfiles-setup.service                       
  28ms cups.service                                         
  27ms var-lib-nfs-rpc_pipefs.mount                         
  26ms dracut-cmdline.service                               
  24ms NetworkManager.service                               
  24ms colord.service                                       
  23ms dracut-pre-pivot.service                             
  23ms flatpak-system-helper.service                        
  21ms systemd-fsck@dev-disk-by\x2duuid-5C45\x2dFEF0.service
  21ms gssproxy.service                                     
  20ms systemd-binfmt.service                               
  20ms accounts-daemon.service                              
  18ms livesys-late.service                                 
  18ms lm_sensors.service                                   
  17ms systemd-tmpfiles-setup-dev.service                   
  16ms import-state.service                                 
  15ms rsyslog.service                                      
  15ms initrd-cleanup.service                               
  15ms plymouth-start.service                               
  14ms dev-loop1.device                                     
  14ms livesys.service                                      
  14ms intel-undervolt.service                              
  13ms systemd-backlight@leds:tpacpi::kbd_backlight.service 
  12ms dracut-pre-udev.service                              
  12ms plymouth-read-write.service                          
  12ms dmraid-activation.service                            
  11ms systemd-fsck-root.service                            
  11ms systemd-update-utmp-runlevel.service                 
  11ms user-runtime-dir@1000.service                        
  10ms boot-efi.mount                                       
   8ms dev-loop0.device                                     
   8ms systemd-remount-fs.service                           
   7ms systemd-sysctl.service                               
   7ms proc-sys-fs-binfmt_misc.mount                        
   6ms systemd-random-seed.service                          
   6ms wpa_supplicant.service                               
   6ms systemd-user-sessions.service                        
   6ms sysroot.mount                                        
   6ms dev-loop2.device                                     
   5ms systemd-update-utmp.service                          
   5ms systemd-backlight@backlight:intel_backlight.service  
   4ms systemd-modules-load.service                         
   4ms initrd-udevadm-cleanup-db.service                    
   3ms rpc-statd-notify.service                             
   3ms tmp.mount                                            
   3ms dev-loop3.device                                     
   2ms dracut-shutdown.service                              
   2ms sys-fs-fuse-connections.mount                        
   1ms sys-kernel-config.mount                              
 982us snapd.socket                                         
  18us iscsi-shutdown.service                               
