vel, aj, b_max, ejection, s_coll, p_coll, stay, cap
0.1,0.1,  164.49414067497955, 0.155232, 0.006029, 0.008668, 0.556141, 0.055918
0.1,0.5,  367.8234022358477, 0.157208, 0.001203, 0.002079, 0.737452, 0.076691
0.1,1.0,  520.188483806762, 0.158018, 0.000567, 0.001082, 0.752033, 0.078301
0.1,1.5,  636.6491354536163, 0.158232, 0.000404, 0.000796, 0.756141, 0.078974
0.1,2.0,  729.2185399845378, 0.158343, 0.000279, 0.000617, 0.757509, 0.07858
0.1,2.5,  811.324447985951, 0.158104, 0.000242, 0.000489, 0.75835, 0.078727
0.1,3.0,  886.3842397431405, 0.157742, 0.000194, 0.000441, 0.759223, 0.078705
0.1,3.5,  959.6340127679973, 0.158454, 0.000207, 0.000364, 0.758454, 0.079017 
0.1,4.0,  1027.6907217476746, 0.157975, 0.000149, 0.00031, 0.758561, 0.079606 
0.1,4.5,  1090.7404396377883, 0.157775, 0.000116, 0.000275, 0.759579, 0.078882 
0.1,5.0,  1147.2970219950196, 0.158085, 9.8e-05, 0.000309, 0.759251, 0.07897 
3.4,0.1,  4.741194571056578, 0.155325, 0.005899, 0.008322, 0.556915, 0.055208 
3.4,0.5,  10.72849959656167, 0.151226, 0.001132, 0.001967, 0.74425, 0.074172 
3.4,1.0,  15.393472591260434, 0.148312, 0.000565, 0.000979, 0.764282, 0.074403 
3.4,1.5,  19.12009209852995, 0.145555, 0.000349, 0.000656, 0.772229, 0.07404 
3.4,2.0,  22.38244937158541, 0.142531, 0.000275, 0.000498, 0.779049, 0.072252 
3.4,2.5,  25.35979451736032, 0.139885, 0.000214, 0.00038, 0.783951, 0.071059 
3.4,3.0,  28.14309962114088, 0.136945, 0.00018, 0.000316, 0.788927, 0.069747 
3.4,3.5,  30.785106428248763, 0.135551, 0.000154, 0.000261, 0.792379, 0.068024 
3.4,4.0,  33.31921285188696, 0.132525, 0.00011, 0.000225, 0.797229, 0.066456 
3.4,4.5,  35.76828900427225, 0.130867, 7.7e-05, 0.000203, 0.80007, 0.065175 
3.4,5.0,  38.14912880728876, 0.12979, 9.6e-05, 0.000161, 0.803137, 0.063271 
6.7,0.1,  2.4265285009533413, 0.150945, 0.005799, 0.008143, 0.558892, 0.054596 
6.7,0.5,  5.669648946808018, 0.143145, 0.001036, 0.00175, 0.759061, 0.070371 
6.7,1.0,  8.429392939904554, 0.133287, 0.000481, 0.000743, 0.789801, 0.065853 
6.7,1.5,  10.80410036540717, 0.125502, 0.000301, 0.000491, 0.805448, 0.06139 
6.7,2.0,  13.006356034024458, 0.119254, 0.000194, 0.000323, 0.81575, 0.056882 
6.7,2.5,  15.111901636018958, 0.113698, 0.000152, 0.000262, 0.8257, 0.052233 
6.7,3.0,  17.156259384490646, 0.109252, 0.000116, 0.000185, 0.83424, 0.048322 
6.7,3.5,  19.15898840799709, 0.105328, 9.6e-05, 0.000136, 0.841273, 0.044992 
6.7,4.0,  21.132040504586744, 0.102428, 7.2e-05, 0.000119, 0.849382, 0.041515 
6.7,4.5,  23.082989194317243, 0.099542, 7.9e-05, 9.9e-05, 0.856255, 0.038069 
6.7,5.0,  25.017037465145023, 0.096148, 5.5e-05, 7.3e-05, 0.863627, 0.035697 
10.1,0.1,  1.6484613290490064, 0.147694, 0.005506, 0.007781, 0.564268, 0.053788 
10.1,0.5,  4.036455720067871, 0.131221, 0.000891, 0.001487, 0.77847, 0.063149 
10.1,1.0,  6.2729748025823655, 0.11678, 0.000372, 0.000632, 0.816297, 0.053942 
10.1,1.5,  8.316993676378296, 0.106484, 0.000214, 0.000333, 0.836256, 0.045845 
10.1,2.0,  10.283928348911987, 0.099419, 0.000136, 0.000222, 0.853717, 0.038757 
10.1,2.5,  12.211027977742539, 0.094033, 9.2e-05, 0.000162, 0.869545, 0.032055 
10.1,3.0,  14.114706471461682, 0.08972, 8.6e-05, 0.000111, 0.880831, 0.026992 
10.1,3.5,  16.00327431281091, 0.0862, 5.2e-05, 0.0001, 0.890213, 0.022197 
10.1,4.0,  17.88155734234253, 0.083739, 3.9e-05, 6.8e-05, 0.897455, 0.01791 
10.1,4.5,  19.75246262120188, 0.080712, 3.5e-05, 4.4e-05, 0.904063, 0.014637 
10.1,5.0,  21.617911008363215, 0.078965, 3e-05, 4.5e-05, 0.908906, 0.011555 
13.4,0.1,  1.2629206196968952, 0.144062, 0.005474, 0.007513, 0.569386, 0.052678 
13.4,0.5,  3.268135515310889, 0.119949, 0.00082, 0.001185, 0.794452, 0.055725 
13.4,1.0,  5.303409956083193, 0.102645, 0.000317, 0.00043, 0.841676, 0.041707 
13.4,1.5,  7.234332611335877, 0.092374, 0.000144, 0.000236, 0.871804, 0.030424 
13.4,2.0,  9.127432347135201, 0.085744, 0.000103, 0.000156, 0.889772, 0.021727 
13.4,2.5,  11.002222246538558, 0.081187, 8.5e-05, 0.000106, 0.902276, 0.014912 
13.4,3.0,  12.866708501527983, 0.077876, 5.3e-05, 5.8e-05, 0.910934, 0.01011 
13.4,3.5,  14.724812186902264, 0.073025, 3.6e-05, 5e-05, 0.919214, 0.006946 
13.4,4.0,  16.578677955831125, 0.068774, 2e-05, 5.2e-05, 0.925263, 0.005308 
13.4,4.5,  18.429602117096955, 0.065239, 2.7e-05, 2.7e-05, 0.929963, 0.004233 
13.4,5.0,  20.27840097605606, 0.06168, 1.9e-05, 2.2e-05, 0.934369, 0.00336 
16.7,0.1,  1.0355141934244771, 0.138647, 0.005121, 0.007121, 0.577506, 0.05146 
16.7,0.5,  2.84029293467974, 0.108661, 0.000703, 0.001037, 0.813915, 0.046193 
16.7,1.0,  4.785277058103073, 0.091338, 0.000251, 0.000326, 0.870905, 0.028827 
16.7,1.5,  6.670478226341479, 0.08245, 0.000103, 0.000177, 0.896879, 0.017025 
16.7,2.0,  8.535590818381454, 0.076688, 6.5e-05, 0.000102, 0.912273, 0.00888 
16.7,2.5,  10.391412324008117, 0.069824, 4.2e-05, 7e-05, 0.923142, 0.005578 
16.7,3.0,  12.24222233691379, 0.063804, 2.8e-05, 5.5e-05, 0.931111, 0.003975 
16.7,3.5,  14.089957562203189, 0.059397, 3.7e-05, 3.9e-05, 0.93675, 0.002851 
16.7,4.0,  15.935690238644659, 0.05492, 1.8e-05, 3.1e-05, 0.942093, 0.002108 
16.7,4.5,  17.779980107430966, 0.051732, 1.3e-05, 2.3e-05, 0.945947, 0.001525 
16.7,5.0,  19.623363796785938, 0.048807, 1.7e-05, 1.7e-05, 0.949209, 0.00111 
20.0,0.1,  0.887287441190098, 0.134334, 0.004936, 0.006739, 0.58452, 0.049258 
20.0,0.5,  2.5772499245473752, 0.099705, 0.000591, 0.000797, 0.832744, 0.037752 
20.0,1.0,  4.477608788541838, 0.082818, 0.000184, 0.00028, 0.891225, 0.018211 
20.0,1.5,  6.341939705192693, 0.074657, 8.7e-05, 0.000129, 0.914241, 0.007505 
20.0,2.0,  8.194879804878106, 0.065193, 6.1e-05, 8.1e-05, 0.928439, 0.004218 
20.0,2.5,  10.04274983990489, 0.058262, 3.6e-05, 3.7e-05, 0.937402, 0.002665 
20.0,3.0,  11.88789273925697, 0.052545, 3.4e-05, 3.2e-05, 0.944601, 0.001689 
20.0,3.5,  13.731437550224403, 0.048662, 1.5e-05, 3.9e-05, 0.949287, 0.001069 
20.0,4.0,  15.573870308898039, 0.045126, 1.2e-05, 1.6e-05, 0.953354, 0.000628 
20.0,4.5,  17.415649002569957, 0.042204, 1.3e-05, 2e-05, 0.95648, 0.000511 
20.0,5.0,  19.256840531992477, 0.040026, 1e-05, 1.4e-05, 0.958951, 0.000322 
23.4,0.1,  0.7842090156637938, 0.128755, 0.004589, 0.006252, 0.592964, 0.047048 
23.4,0.5,  2.4043218306374032, 0.091667, 0.000481, 0.000628, 0.853877, 0.029147 
23.4,1.0,  4.280897747593829, 0.07697, 0.000152, 0.000206, 0.906062, 0.009568 
23.4,1.5,  6.134810409707996, 0.064332, 8e-05, 9.7e-05, 0.927924, 0.004165 
23.4,2.0,  7.981883127417646, 0.05582, 3.4e-05, 4.8e-05, 0.939782, 0.002138 
23.4,2.5,  9.825958909068905, 0.049126, 3.5e-05, 3.9e-05, 0.948146, 0.001126 
23.4,3.0,  11.668440339249472, 0.044597, 1.7e-05, 2.7e-05, 0.95367, 0.000605 
23.4,3.5,  13.510001298205992, 0.040672, 1.6e-05, 3.3e-05, 0.958141, 0.000382 
23.4,4.0,  15.35103767864111, 0.037897, 1.3e-05, 1.9e-05, 0.961021, 0.000225 
23.4,4.5,  17.19157049749674, 0.035565, 9e-06, 1.7e-05, 0.963508, 0.000191 
23.4,5.0,  19.03189170406658, 0.033133, 5e-06, 8e-06, 0.966072, 0.000128 
26.7,0.1,  0.7091893200816759, 0.123738, 0.004341, 0.005592, 0.59986, 0.044848 
26.7,0.5,  2.284855037970709, 0.086042, 0.00043, 0.000588, 0.867468, 0.021351 
26.7,1.0,  4.147971517769822, 0.068887, 0.000123, 0.00013, 0.918576, 0.005152 
26.7,1.5,  5.996283887203341, 0.056072, 5.6e-05, 6.8e-05, 0.937956, 0.002267 
26.7,2.0,  7.84024777890356, 0.048453, 2.8e-05, 4.6e-05, 0.948375, 0.000983 
26.7,2.5,  9.682388991027025, 0.042706, 2.6e-05, 2.7e-05, 0.955313, 0.000457 
26.7,3.0,  11.523522894859907, 0.038279, 1.8e-05, 2.9e-05, 0.960415, 0.000243 
26.7,3.5,  13.364107816168968, 0.035206, 1.6e-05, 1.1e-05, 0.96349, 0.000144 
26.7,4.0,  15.204326997394041, 0.032412, 1.2e-05, 1.4e-05, 0.96665, 0.000113 
26.7,4.5,  17.044332724249255, 0.030099, 6e-06, 7e-06, 0.969081, 7.6e-05 
26.7,5.0,  18.884134459675934, 0.028286, 5e-06, 6e-06, 0.970987, 4.7e-05 
30.0,0.1,  0.6527101621637501, 0.11841, 0.004013, 0.005212, 0.603629, 0.042049 
30.0,0.5,  2.199086700624911, 0.081266, 0.000346, 0.000415, 0.880469, 0.014398 
30.0,1.0,  4.054192898168248, 0.061938, 9.8e-05, 0.00013, 0.927093, 0.003249 
30.0,1.5,  5.899277346457426, 0.049896, 5.4e-05, 5.7e-05, 0.945472, 0.001225 
30.0,2.0,  7.741506116113467, 0.042406, 2.9e-05, 3.5e-05, 0.954917, 0.000436 
30.0,2.5,  9.582575540638707, 0.037054, 1.4e-05, 3e-05, 0.961245, 0.000202 
30.0,3.0,  11.422949317243114, 0.033562, 1.4e-05, 1.7e-05, 0.965232, 0.000151 
30.0,3.5,  13.262996691165027, 0.030566, 1.3e-05, 1.2e-05, 0.968586, 6.8e-05 
30.0,4.0,  15.102809724361641, 0.027876, 1e-05, 8e-06, 0.971382, 4.9e-05 
30.0,4.5,  16.94248096507875, 0.026009, 2e-06, 6e-06, 0.973117, 3.5e-05 
30.0,5.0,  18.782003114794495, 0.024186, 3e-06, 2e-06, 0.974962, 2.9e-05 
