vel, aj, b_max, ejection, s_coll, p_coll, stay, cap
0.1,0.1,823,0.137535,0.022459,0.0275,0.654896,0.044323
0.1,0.5,823.5127084473995,0.15031,0.004378,0.006434,0.760566,0.076194
0.1,1.0,1190.7837195061036,0.152326,0.002237,0.003401,0.761741,0.078068
0.1,1.5,1426.370338837026,0.152476,0.001443,0.002323,0.763037,0.078534
0.1,2.0,1647.037660912524,0.152749,0.00109,0.001809,0.762756,0.079368
0.1,2.5,1841.4569819297847,0.152884,0.000851,0.001588,0.763048,0.079533
0.1,3.0,2017.2136638951383,0.152913,0.000724,0.001248,0.7629,0.079951
0.1,3.5,2178.8456031086916,0.153182,0.00062,0.001121,0.76342,0.079442
0.1,4.0,2329.295044737347,0.153569,0.000537,0.000991,0.762828,0.079823
0.1,4.5,2470.5982811843446,0.153948,0.000487,0.000932,0.762288,0.080095
0.1,5.0,2604.2303833682467,0.152853,0.000417,0.000852,0.76384,0.07984
3.4,0.1,10.572804063569032,0.137366,0.022799,0.027527,0.655,0.044423
3.4,0.5,23.698817402970523,0.149421,0.004294,0.006291,0.759198,0.074467
3.4,1.0,33.616197622199145,0.149918,0.002168,0.003284,0.762414,0.076195
3.4,1.5,41.294554379924676,0.150295,0.001462,0.002269,0.763258,0.076969
3.4,2.0,47.824862307129926,0.149372,0.001083,0.001788,0.764748,0.077294
3.4,2.5,53.62828137852147,0.149233,0.000865,0.001393,0.766552,0.076613
3.4,3.0,58.91973548989792,0.148671,0.000736,0.00122,0.767689,0.076606
3.4,3.5,63.826207969824125,0.147995,0.000609,0.000981,0.769239,0.076247
3.4,4.0,68.43100157604974,0.1466,0.000488,0.000905,0.771209,0.075983
3.4,4.5,72.79159981066057,0.14626,0.000471,0.000783,0.771917,0.076018
3.4,5.0,76.94952827483601,0.145961,0.000457,0.000713,0.772358,0.076049
6.7,0.1,5.374715737588273,0.136712,0.022459,0.027185,0.654478,0.043655
6.7,0.5,12.129306799725413,0.147237,0.004282,0.006121,0.763396,0.073448
6.7,1.0,17.349837650588746,0.146339,0.002127,0.003023,0.769134,0.074584
6.7,1.5,21.48678165366564,0.144173,0.001389,0.002121,0.773886,0.074307
6.7,2.0,25.082665756357816,0.142378,0.001009,0.001483,0.778315,0.073223
6.7,2.5,28.344182840649957,0.140115,0.000758,0.001273,0.782148,0.072343
6.7,3.0,31.375089562540524,0.138737,0.000649,0.001024,0.785596,0.070893
6.7,3.5,34.23727899332074,0.136722,0.000522,0.000837,0.788658,0.070441
6.7,4.0,36.970147996228455,0.135125,0.000401,0.000709,0.791836,0.06918
6.7,4.5,39.599987214986555,0.13299,0.00044,0.000614,0.795074,0.068149
6.7,5.0,42.14599508782328,0.131599,0.000359,0.000577,0.797664,0.067131
10.1,0.1,3.611215113765798,0.135533,0.022583,0.026816,0.656005,0.043836
10.1,0.5,8.240448341298421,0.144098,0.004202,0.005997,0.769052,0.072013
10.1,1.0,11.9410269479916,0.140499,0.001965,0.002854,0.779489,0.071682
10.1,1.5,14.968466794580326,0.13627,0.001238,0.001812,0.787904,0.069879
10.1,2.0,17.67208366566238,0.132889,0.000917,0.001304,0.794374,0.067681
10.1,2.5,20.18242633916329,0.129743,0.000684,0.001121,0.800459,0.065354
10.1,3.0,22.56426119049415,0.126118,0.000553,0.00083,0.807246,0.062484
10.1,3.5,24.854245667692826,0.123748,0.000432,0.000707,0.811347,0.060874
10.1,4.0,27.07602525789677,0.120946,0.00037,0.000589,0.816005,0.05881
10.1,4.5,29.244985062447846,0.118633,0.000367,0.000506,0.82031,0.056269
10.1,5.0,31.37202423217242,0.115417,0.000286,0.000403,0.82578,0.054256
13.4,0.1,2.7257524357169194,0.135046,0.022224,0.02678,0.657982,0.043346
13.4,0.5,6.313443529058104,0.140077,0.003999,0.005647,0.775919,0.07061
13.4,1.0,9.30057929781356,0.134185,0.001888,0.002581,0.790612,0.067957
13.4,1.5,11.828973263574424,0.128301,0.001116,0.001664,0.802327,0.063889
13.4,2.0,14.146719848064157,0.122487,0.000845,0.001239,0.811999,0.060488
13.4,2.5,16.343659475724003,0.118491,0.000582,0.000858,0.819897,0.056258
13.4,3.0,18.46302643241756,0.114701,0.000459,0.00066,0.826247,0.053617
13.4,3.5,20.528846471842407,0.110769,0.00037,0.000561,0.83222,0.049744
13.4,4.0,22.555805612151264,0.107342,0.000324,0.000429,0.839676,0.047051
13.4,4.5,24.55356644624919,0.104522,0.000265,0.000379,0.844655,0.044544
13.4,5.0,26.528726179671647,0.101983,0.000222,0.000293,0.851368,0.041926
16.7,0.1,2.1949247211184715,0.133358,0.022225,0.026502,0.661238,0.043512
16.7,0.5,5.176991344327776,0.136393,0.003863,0.005206,0.783876,0.067678
16.7,1.0,7.7706476829243885,0.12704,0.001755,0.002403,0.803057,0.06304
16.7,1.5,10.037367827458512,0.119648,0.000935,0.001386,0.817476,0.057299
16.7,2.0,12.161148869165158,0.113406,0.000676,0.000942,0.828178,0.051939
16.7,2.5,14.206397369364435,0.108784,0.000502,0.000714,0.837555,0.047076
16.7,3.0,16.2028039025872,0.103956,0.000376,0.00053,0.845197,0.0434
16.7,3.5,18.166523464361212,0.100124,0.000308,0.000429,0.855705,0.039442
16.7,4.0,20.107082601644727,0.096686,0.000271,0.000332,0.864785,0.035633
16.7,4.5,22.030632219939218,0.094067,0.000213,0.000256,0.872454,0.032177
16.7,5.0,23.94128841873824,0.091812,0.000183,0.000246,0.878309,0.028988
20.0,0.1,1.8421927518221175,0.132358,0.02181,0.026192,0.663694,0.042759
20.0,0.5,4.436244450556138,0.13162,0.003625,0.004823,0.792216,0.064941
20.0,1.0,6.792802558671953,0.120007,0.001607,0.002147,0.81535,0.057729
20.0,1.5,8.909884187496798,0.110723,0.000862,0.001172,0.829796,0.050603
20.0,2.0,10.927536295025089,0.104259,0.000639,0.000774,0.844503,0.044197
20.0,2.5,12.892587327291995,0.099604,0.000442,0.000523,0.856905,0.038734
20.0,3.0,14.825907815756981,0.094965,0.000337,0.000438,0.869943,0.033191
20.0,3.5,16.738496144800347,0.091442,0.000238,0.000324,0.878777,0.028783
20.0,4.0,18.63680749719698,0.088677,0.000208,0.00027,0.885932,0.024663
20.0,4.5,20.52473898114154,0.086815,0.00017,0.000212,0.891584,0.021075
20.0,5.0,22.404973927069765,0.084103,0.000132,0.000173,0.897475,0.018034
23.4,0.1,1.5914232371263906,0.131291,0.0215,0.025533,0.667409,0.042947
23.4,0.5,3.921190744140868,0.1263,0.003381,0.004568,0.801518,0.061505
23.4,1.0,6.126433059259921,0.113357,0.001389,0.001864,0.826787,0.052089
23.4,1.5,8.153048838586,0.103651,0.000798,0.001074,0.844685,0.0436
23.4,2.0,10.10905667438382,0.096823,0.000522,0.000673,0.863036,0.036161
23.4,2.5,12.028928326110949,0.091832,0.000321,0.000462,0.877172,0.029704
23.4,3.0,13.927647879301746,0.088191,0.000288,0.000325,0.886868,0.024108
