vel, aj, b_max, ejection, s_coll, p_coll, stay, cap, trans
0.1,0.1,1775.1150376031633,0.05199306759098787,0.0032495667244367417,0.021663778162911613,0.6856585788561526,0.0015164644714038128,0.0012998266897746968
0.1,0.5,1812.7735257764657,0.1999041327136694,0.002500885730362837,0.06373090469541295,0.6920576037346561,0.004209824312777442,0.0037721693099639457
0.1,1.0,1852.756663818454,0.2877495351176134,0.002308132004891214,0.0765373678612516,0.5787695268691166,0.006425144891358614,0.005470055785886388
0.1,1.5,1892.4423466030921,0.3563048072485243,0.0019068671508732722,0.08727864551704034,0.4688059205998332,0.008720577161318532,0.007429089642998842
0.1,2.0,1937.0644399475352,0.4438712781311808,0.0019511412840113327,0.07556238063534797,0.38045797149341276,0.01189151362883121,0.009614777161684736
0.1,2.5,1977.595077337841,0.6009404284700816,0.0020066266078688205,0.04843712227624138,0.23937633413019058,0.020928957517976687,0.020394910436512387
3.4,0.1,59.53149943087739,0.010921004732435385,0.00036403349108117945,0.004732435384055333,0.740444120859119,0.0008494114791894187,0.00024268899405411964
3.4,0.5,61.08020986546223,0.06666820112091883,0.0003912858343019576,0.0230858642238155,0.8662723119238603,0.0028425765021348093,0.0016111769647727664
3.4,1.0,62.857697273960035,0.1258639940450872,0.00046079682404650505,0.056966007372749185,0.7605318658726783,0.004678860059549128,0.0032433007230965546
3.4,1.5,64.66706934276358,0.18695947531588503,0.0003557180440448106,0.06242357620147475,0.6559934785025259,0.0063634005656905005,0.005898990897076442
3.4,2.0,66.43375248689658,0.2824838035283801,0.00037010979924044133,0.06554444485197275,0.5259110202693466,0.008120742486937792,0.01024303876816789
3.4,2.5,68.15357881489123,0.45749538315571897,0.000308142588482456,0.03984251901800993,0.36443949816173354,0.010647332395845687,0.028152161021974483
6.7,0.1,39.510684288708894,0.0025587039798812762,0.0001315904903938942,0.0003947714711816826,0.7508114746907624,0.0002631809807877884,0.0001462116559932158
6.7,0.5,40.726064975236504,0.01353641359280964,9.80800823872692e-05,0.0007056317038417423,0.9522390865474993,0.0014494056619452004,0.001236898816772784
6.7,1.0,42.23072808286916,0.02718,8.3e-05,0.000923,0.931046,0.002896,0.003542
6.7,1.5,43.74732511063807,0.043138,9.5e-05,0.001918,0.853678,0.004353,0.00761
6.7,2.0,45.24058937480056,0.066496,0.000111,0.012102,0.747592,0.005515,0.015831
6.7,2.5,46.74640413612545,0.098365,9.5e-05,0.010294,0.663125,0.006661,0.041111
10.1,0.1,34.352544352102065,0.001202788000904661,8.22419145917717e-05,0.000267286222423258,0.7520611879844563,0.00011308263256368608,5.140119661985731e-05
10.1,0.5,35.54407409928428,0.006953,3e-05,0.000279,0.960381,0.000865,0.0008
10.1,1.0,36.990712760235,0.014651,4e-05,0.000437,0.947781,0.001574,0.002546
10.1,1.5,38.46470913798821,0.023204,3.9e-05,0.000577,0.88706,0.002253,0.005443
10.1,2.0,39.93363867236698,0.039647,4.2e-05,0.00397,0.774332,0.00289,0.01193
10.1,2.5,41.373619848975586,0.061443,3.4e-05,0.006181,0.702823,0.003148,0.032324
13.4,0.1,32.33073410703979,0.0008373832945945735,0.0,0.0001643462540793088,0.7490354440087964,7.826012099014705e-05,3.130404839605882e-05
13.4,0.5,33.50592182279541,0.004263,3.8e-05,0.000137,0.964013,0.000548,0.000556
13.4,1.0,34.96010335527622,0.009299,2.8e-05,0.000251,0.955255,0.001021,0.001765
13.4,1.5,36.41390456624816,0.015541,3e-05,0.000315,0.900518,0.001164,0.003884
13.4,2.0,37.87439814153533,0.02427,2.3e-05,0.00057,0.819626,0.001382,0.008568
13.4,2.5,39.33626427881711,0.041089,2.3e-05,0.004243,0.720439,0.001444,0.022852
16.7,0.1,31.33992686137229,0.0004959071963039221,6.277306282328128e-06,0.00021970571988148445,0.749309496308944,6.277306282328128e-05,5.021845025862502e-05
16.7,0.5,32.514035098880235,0.003085,1.7e-05,9.4e-05,0.964242,0.000395,0.000413
16.7,1.0,33.97473012957723,0.006455,1.8e-05,0.000148,0.956337,0.0006,0.00129
16.7,1.5,35.42130179028762,0.010703,1.9e-05,0.000183,0.898219,0.000711,0.002862
16.7,2.0,36.862898477333665,0.015632,2.2e-05,0.000217,0.828741,0.000546,0.005794
16.7,2.5,38.33206190494912,0.029706,1.3e-05,0.0019,0.744418,0.000582,0.014485
20.0,0.1,30.793268085693054,0.00031756449205559494,1.5878224602779747e-05,0.0001323185383564979,0.7529348251807472,5.292741534259916e-05,5.292741534259916e-05
20.0,0.5,31.965941062255414,0.002154,1.5e-05,6.5e-05,0.966622,0.000264,0.000277
20.0,1.0,33.40446976909757,0.005017,2.3e-05,7.6e-05,0.965009,0.00034,0.001012
20.0,1.5,34.867493977084564,0.0081,1.9e-05,0.00012,0.914366,0.000284,0.002116
20.0,2.0,36.32524002418896,0.011814,1e-05,0.000153,0.854113,0.000269,0.004422
20.0,2.5,37.774004981882996,0.020584,2.4e-05,0.000562,0.769014,0.000214,0.01077
23.4,0.1,30.465235950888868,0.00037302778826758527,0.0,0.0001519742841090162,0.7535990273645817,1.842112534654742e-05,2.3026406683184276e-05
23.4,0.5,31.629132291995685,0.001671,1.1e-05,4.4e-05,0.965045,0.00016,0.000241
23.4,1.0,33.07544030723279,0.003763,1.1e-05,5.5e-05,0.958784,0.000155,0.000777
23.4,1.5,34.52215212823271,0.006266,1.3e-05,9.3e-05,0.912043,0.000124,0.001624
23.4,2.0,35.981139254826964,0.009333,5e-06,0.000107,0.841293,0.000134,0.003483
23.4,2.5,37.45075484173125,0.015086,1.1e-05,0.000179,0.763977,9.9e-05,0.008443
26.7,0.1,30.243091865698897,0.00023219504383682293,2.0016814123864046e-05,0.00014412106169182112,0.7525001000840706,2.0016814123864046e-05,1.6013451299091238e-05
26.7,0.5,31.399629582993203,0.001302,4e-06,4.1e-05,0.967535,0.000107,0.000194
26.7,1.0,32.84905759385561,0.00297,8e-06,3.7e-05,0.969826,9.3e-05,0.000623
26.7,1.5,34.29010564684926,0.005033,6e-06,5.5e-05,0.900084,8.2e-05,0.001422
26.7,2.0,35.760274527709036,0.007316,8e-06,6.7e-05,0.839594,6.1e-05,0.002778
26.7,2.5,37.205292129587406,0.011107,1e-05,8.9e-05,0.787633,4.5e-05,0.005822
30.0,0.1,30.08938307803311,0.00014616026294587793,7.129768924189167e-06,0.00012120607171121584,0.7534347661792281,1.782442231047292e-05,2.13893067725675e-05
30.0,0.5,31.244347047167018,0.00108,4e-06,2.5e-05,0.968946,6.6e-05,0.000176
30.0,1.0,32.70640798434923,0.002613,2e-06,3.2e-05,0.97179,6.1e-05,0.000514
30.0,1.5,34.1596676152899,0.004248,7e-06,3.1e-05,0.896431,4.2e-05,0.001216
30.0,2.0,35.598291626869006,0.006219,5e-06,5.5e-05,0.840749,2.7e-05,0.002459
30.0,2.5,37.06058688956058,0.00884,8e-06,7.6e-05,0.7965,1.9e-05,0.004323
