vel, aj, b_max, ejection, s_coll, p_coll, stay, s_cap, b_cap
0.1,0.1,1768.2813637340219,0.04456967213114754,0.0025614754098360654,0.013063524590163935,0.6985143442622951,0.0,0.001793032786885246
0.1,0.5,1768.469998262109,0.15690533072709284,0.0022925263640531865,0.02063273727647868,0.784116412075581,0.00021718670817345978,0.007963512633026859
0.1,1.0,1768.4852107240513,0.2232051065658038,0.0021712111215111017,0.017315984103358856,0.7316597873287198,0.00020714735081554678,0.011638612266192018
0.1,1.5,1768.4791257392742,0.25935616839194764,0.002065248275072411,0.01309121442535633,0.6997332564342874,0.00024596386027556436,0.014566997587009715
0.1,2.0,1768.4882532164397,0.28444638440273534,0.002074677616653464,0.008729812309035356,0.6784357469647736,0.0002936881301496462,0.016821055013983868
0.1,2.5,1768.4882532164397,0.3007237106981855,0.0021955268371918676,0.005374776629439893,0.6641835595301137,0.0003212966103207611,0.01892873363519348
0.1,3.0,1768.4912957088281,0.313079348054966,0.002113261739964279,0.0038599218017412065,0.6526949010554189,0.00032569983805901074,0.020611497658748375
0.1,3.5,1768.4912957088281,0.3232105422281301,0.002077612507152334,0.003124539314725188,0.6429167530776899,0.00028984131188174476,0.021568191415200177
0.1,4.0,1768.4882532164397,0.33291207685730095,0.002055983099441678,0.002503437117515886,0.6329462384521235,0.0003751488020387975,0.022479586875241018
0.1,4.5,1768.4943382012168,0.34309,0.00209,0.001946,0.62237,0.00032,0.02337
0.1,5.0,1768.4912957088281,0.352672,0.002083,0.001643,0.612774,0.000367,0.023826
3.4,0.1,59.35298914415775,0.010219795604087919,0.00041999160016799666,0.0033599328013439733,0.7407251854962901,0.0,0.00125997480050399
3.4,0.5,59.36294597682598,0.048401602485487694,0.0002861581228027144,0.006404491319870275,0.9129670509361458,9.538604093423813e-05,0.0049055678194751045
3.4,1.0,59.36340607029186,0.08528088692862129,0.00034212217460251413,0.0071568260308742145,0.8834889064573249,0.00013407490626314743,0.008566924182952145
3.4,1.5,59.363252705803234,0.11643369402898161,0.0003597466762254033,0.006019933589210705,0.8515824971595541,0.00018893170765794563,0.012073512551018031
3.4,2.0,59.363712799269116,0.14343784554307715,0.0003863421392696801,0.0044812357619599535,0.8241510464543117,0.00023979856920187042,0.014516139775921559
3.4,2.5,59.3636361170248,0.16375946173254835,0.00040249909888261445,0.0032620449357202933,0.8037077976691097,0.00026072329688814127,0.016890544274900877
3.4,3.0,59.3636361170248,0.180882,0.000385,0.002327,0.78687,0.000253,0.018355
3.4,3.5,59.36355943478049,0.194596,0.000357,0.001975,0.773199,0.000304,0.019535
3.4,4.0,59.3636361170248,0.206889,0.000338,0.001534,0.760908,0.000285,0.020603
3.4,4.5,59.3636361170248,0.219336,0.00039,0.001255,0.748554,0.000315,0.020953
3.4,5.0,59.3636361170248,0.23154254056371212,0.00037016743044171436,0.0010621217457051015,0.7356689510535145,0.0003217868848216727,0.022084031382097174
6.7,0.1,39.29607050496147,0.001914651395453134,8.624555835374478e-05,0.0003277331217442302,0.7545796391485838,5.174733501224687e-05,0.0004312277917687239
6.7,0.5,39.29642240473221,0.009840731592510905,9.603017551482407e-05,0.0003022589130958397,0.9606087368568537,0.0004124574751620312,0.0030666685557848737
6.7,1.0,39.29624645537891,0.01855,9.7e-05,0.00028,0.964966,0.001051,0.00591
6.7,1.5,39.29624645537891,0.026806,0.000113,0.000244,0.956445,0.001732,0.008178
6.7,2.0,39.29642240473221,0.035325,9.7e-05,0.000188,0.94406,0.002332,0.010358
6.7,2.5,39.29642240473221,0.043402,9.7e-05,0.000171,0.93254,0.002975,0.012358
6.7,3.0,39.29642240473221,0.052051,8.3e-05,0.000156,0.921513,0.003616,0.014133
6.7,3.5,39.29624645537891,0.061668,0.000105,0.000144,0.909053,0.003952,0.015733
6.7,4.0,39.29642240473221,0.071017,9.6e-05,0.000143,0.897205,0.004405,0.01738
6.7,4.5,39.29642240473221,0.080519,9.3e-05,0.000114,0.885351,0.004667,0.018868
6.7,5.0,39.29642240473221,0.091492,0.000107,0.000123,0.872401,0.004953,0.020232
10.1,0.1,34.14447782405698,0.0008784628138030017,4.949086274946488e-05,0.00021033616668522575,0.7531766947527313,9.898172549892976e-05,0.00019796345099785953
10.1,0.5,34.144578671130944,0.0043568238753948375,4.001164783525871e-05,7.780042634633638e-05,0.9676694771144488,0.0007291011383313809,0.0012203552589753906
