vel, aj, b_max, ejection, s_coll, p_coll, stay, cap
0.1,0.1,361.593,0.150572,0.020245,0.02079,0.44895,0.039528
0.1,0.5,823.5127084473995,0.156506,0.003953,0.004775,0.722049,0.072448
0.1,1.0,1190.7837195061036,0.157552,0.002053,0.002562,0.747298,0.075836
0.1,1.5,1426.370338837026,0.15723,0.001316,0.001757,0.754381,0.076858
0.1,2.0,1647.037660912524,0.157483,0.000985,0.001381,0.756387,0.077805
0.1,2.5,1841.4569819297847,0.157493,0.000763,0.00124,0.757792,0.078084
0.1,3.0,2017.2136638951383,0.157468,0.000662,0.000988,0.758356,0.078488
0.1,3.5,2178.8456031086916,0.157543,0.000556,0.000897,0.759283,0.078104
0.1,4.0,2329.295044737347,0.157845,0.000488,0.000788,0.759004,0.078572
0.1,4.5,2470.5982811843446,0.158363,0.000437,0.00075,0.758463,0.078816
0.1,5.0,2604.2303833682467,0.157232,0.000377,0.000675,0.760235,0.078546
3.4,0.1,10.572804063569032,0.15065,0.020543,0.020774,0.449415,0.03944
3.4,0.5,23.698817402970523,0.154447,0.003918,0.004628,0.72217,0.071203
3.4,1.0,33.616197622199145,0.153748,0.001964,0.002474,0.748453,0.074637
3.4,1.5,41.294554379924676,0.153791,0.00131,0.001742,0.755324,0.075845
3.4,2.0,47.824862307129926,0.152824,0.000961,0.001369,0.759028,0.076333
3.4,2.5,53.62828137852147,0.152539,0.000789,0.001089,0.762035,0.075665
3.4,3.0,58.91973548989792,0.151875,0.000666,0.000966,0.763757,0.075775
3.4,3.5,63.826207969824125,0.151104,0.000552,0.000782,0.765764,0.075466
3.4,4.0,68.43100157604974,0.149601,0.000444,0.000727,0.768021,0.075242
3.4,4.5,72.79159981066057,0.149188,0.000423,0.00063,0.768958,0.075338
3.4,5.0,76.94952827483601,0.148974,0.000417,0.00058,0.769537,0.075246
6.7,0.1,5.374715737588273,0.148709,0.020232,0.020658,0.448599,0.039123
6.7,0.5,12.129306799725413,0.152037,0.003867,0.004615,0.726043,0.070222
6.7,1.0,17.349837650588746,0.150103,0.00193,0.002312,0.755404,0.072989
6.7,1.5,21.48678165366564,0.147457,0.001255,0.001663,0.766007,0.073133
6.7,2.0,25.082665756357816,0.145405,0.000901,0.001182,0.772749,0.072363
6.7,2.5,28.344182840649957,0.142971,0.00069,0.000982,0.777821,0.071568
6.7,3.0,31.375089562540524,0.141375,0.000583,0.000789,0.78195,0.070231
6.7,3.5,34.23727899332074,0.139208,0.000469,0.000653,0.785599,0.069768
6.7,4.0,36.970147996228455,0.137549,0.000365,0.000559,0.788989,0.068617
6.7,4.5,39.599987214986555,0.135253,0.000395,0.000484,0.792422,0.067658
6.7,5.0,42.14599508782328,0.13382,0.000326,0.000467,0.795103,0.066671
10.1,0.1,3.611215113765798,0.147739,0.020344,0.020148,0.449953,0.039152
10.1,0.5,8.240448341298421,0.148756,0.00379,0.004491,0.730986,0.068981
10.1,1.0,11.9410269479916,0.143849,0.00177,0.002145,0.765708,0.070298
10.1,1.5,14.968466794580326,0.139155,0.001096,0.001399,0.780195,0.068907
10.1,2.0,17.67208366566238,0.135372,0.00084,0.001029,0.789084,0.066958
