vel, aj, b_max, ejection, s_coll, p_coll, stay, cap
0.1,0.1,0 ,0.043525,0.021916,0.005564,0.571241,0.007448
0.1,0.5,481.5941727363907,0.047144,0.004433,0.001006,0.890428,0.011955
0.1,1.0,714.6947323673513,0.047237,0.002139,0.00051,0.922224,0.012192
0.1,1.5,842.2795113721982,0.047301,0.001442,0.000376,0.930186,0.012312
0.1,2.0,963.1945379546922,0.047961,0.001118,0.000282,0.932436,0.012494
0.1,2.5,1076.8865390013389,0.04745,0.000821,0.00021,0.934669,0.01255
0.1,3.0,1179.6762780525883,0.047426,0.000711,0.000177,0.935526,0.012474
0.1,3.5,1274.199868466544,0.047725,0.000618,0.000157,0.936097,0.012263
0.1,4.0,1362.1791986639944,0.047259,0.000548,0.000177,0.936951,0.012375
0.1,4.5,1444.8102693566607,0.047461,0.000487,0.000139,0.937003,0.012402
0.1,5.0,1522.9709379292408,0.047405,0.000461,0.000121,0.93711,0.012569
3.4,0.1,6.266781896415821,0.043688,0.021902,0.00551,0.569959,0.007499
3.4,0.5,14.040107724616547,0.046166,0.004362,0.000971,0.891488,0.011624
3.4,1.0,19.913981997120214,0.046253,0.002149,0.00047,0.922563,0.011971
3.4,1.5,24.459553640086455,0.046447,0.001391,0.000342,0.930916,0.011945
3.4,2.0,28.324440161935506,0.046002,0.001149,0.000233,0.934315,0.012059
3.4,2.5,31.759061463988274,0.04627,0.000825,0.000204,0.936086,0.012073
3.4,3.0,34.89093288536283,0.046113,0.000678,0.000182,0.937301,0.01216
3.4,3.5,37.79392903115217,0.045972,0.000617,0.000161,0.938139,0.012074
3.4,4.0,40.51727545476793,0.046354,0.000527,0.000118,0.938266,0.012109
3.4,4.5,43.096113443163226,0.04544,0.000473,0.000105,0.939548,0.012089
3.4,5.0,45.55518585422534,0.045665,0.000428,9.4e-05,0.94006,0.011771
6.7,0.1,3.184393031983002,0.043688,0.02171,0.00539,0.571655,0.00748
6.7,0.5,7.1838488194924,0.045805,0.004251,0.00088,0.892926,0.01131
6.7,1.0,10.272953748505856,0.046084,0.001984,0.000479,0.924027,0.011726
6.7,1.5,12.71902776759988,0.045352,0.001369,0.000305,0.932908,0.01188
6.7,2.0,14.843680465975604,0.045406,0.001012,0.000229,0.936621,0.011567
6.7,2.5,16.769552273865358,0.044783,0.000779,0.0002,0.939364,0.011265
6.7,3.0,18.55858832273527,0.044693,0.000682,0.000134,0.941189,0.010798
6.7,3.5,20.246815544450946,0.044088,0.000549,0.000119,0.942748,0.010579
6.7,4.0,21.85813184934954,0.044086,0.000476,0.000111,0.943576,0.010024
6.7,4.5,23.4081237462825,0.04441,0.000383,9.1e-05,0.943788,0.010033
6.7,5.0,24.90824216666794,0.04385,0.000364,9.5e-05,0.94487,0.009614
10.1,0.1,2.1391524856073536,0.042722,0.021576,0.005314,0.572144,0.007271
10.1,0.5,4.878840541664556,0.045525,0.004179,0.00088,0.893886,0.011561
10.1,1.0,7.065791586197854,0.045215,0.001973,0.000396,0.926337,0.011308
10.1,1.5,8.852506701646385,0.044843,0.001257,0.00027,0.935594,0.010563
10.1,2.0,10.44643998299404,0.044271,0.000918,0.000174,0.940352,0.009684
10.1,2.5,11.925119713051513,0.043501,0.000707,0.000152,0.943514,0.009026
10.1,3.0,13.326964787994111,0.042825,0.000551,0.000127,0.945801,0.008378
10.1,3.5,14.674012375231799,0.042314,0.000489,9e-05,0.947724,0.007544
10.1,4.0,15.980125980581581,0.041589,0.000362,8.4e-05,0.949413,0.006887
10.1,4.5,17.254603790332215,0.04117,0.000352,5.7e-05,0.950389,0.006485
10.1,5.0,18.50399107218754,0.040056,0.000305,4.5e-05,0.952054,0.005856
13.4,0.1,1.6144808915385858,0.042442,0.021344,0.005078,0.572922,0.007538
13.4,0.5,3.7363290762660215,0.04455,0.004023,0.000814,0.895642,0.010833
13.4,1.0,5.499059345261153,0.044242,0.001817,0.000402,0.929229,0.009883
13.4,1.5,6.988420471219192,0.043353,0.001104,0.000231,0.939279,0.008724
13.4,2.0,8.351961204959215,0.042082,0.000755,0.000167,0.944743,0.007547
13.4,2.5,9.64331168130882,0.040952,0.000598,0.000119,0.948622,0.006471
13.4,3.0,10.888092693093949,0.039653,0.000478,9.4e-05,0.951041,0.005588
13.4,3.5,12.100634050770235,0.038352,0.000379,6.1e-05,0.953362,0.004878
13.4,4.0,13.289876980189213,0.037837,0.000329,6.6e-05,0.954556,0.004081
13.4,4.5,14.461521288313387,0.03659,0.000268,5.2e-05,0.956735,0.003517
13.4,5.0,15.61955257814809,0.035204,0.00023,3e-05,0.958318,0.002963
16.7,0.1,1.2999375061576464,0.042541,0.021359,0.005194,0.572735,0.007553
16.7,0.5,3.062103560458703,0.0443,0.003722,0.000785,0.897342,0.010235
16.7,1.0,4.590448921319776,0.04333,0.001673,0.000339,0.931865,0.008702
16.7,1.5,5.92343334098242,0.041604,0.001003,0.000196,0.943047,0.006787
16.7,2.0,7.170897082680157,0.039342,0.000679,0.000152,0.948944,0.005333
16.7,2.5,8.371073935949953,0.037686,0.000509,9.6e-05,0.952769,0.004268
16.7,3.0,9.541897016399984,0.036264,0.000401,8.1e-05,0.955953,0.003384
16.7,3.5,10.69301475087988,0.034721,0.000305,6.7e-05,0.959599,0.00239
16.7,4.0,11.830145904095856,0.033327,0.000278,4.7e-05,0.962848,0.001837
16.7,4.5,12.956973474576362,0.032054,0.000229,4.4e-05,0.965261,0.001248
16.7,5.0,14.075972186303058,0.03067,0.000168,3.4e-05,0.967398,0.000819
20.0,0.1,1.0908217660726542,0.042173,0.020939,0.005052,0.5735,0.007457
20.0,0.5,2.622436900764058,0.043484,0.003523,0.000747,0.898642,0.00947
20.0,1.0,4.009187084867108,0.041538,0.001471,0.000291,0.935409,0.006974
20.0,1.5,5.252566838309328,0.038804,0.000863,0.000165,0.947159,0.00502
20.0,2.0,6.436166519235047,0.0365,0.000609,9.8e-05,0.953112,0.003462
20.0,2.5,7.588035836233449,0.034748,0.000425,8.1e-05,0.958386,0.002339
20.0,3.0,8.720802709049988,0.032292,0.000305,6.1e-05,0.963706,0.001455
20.0,3.5,9.841004149074863,0.030917,0.000266,4.2e-05,0.966378,0.000828
20.0,4.0,10.952522257619318,0.028976,0.000228,4.5e-05,0.969253,0.000407
20.0,4.5,12.057756689153504,0.027442,0.000177,4e-05,0.971252,0.000191
20.0,5.0,13.158270761983207,0.025726,0.000142,2.4e-05,0.97322,0.000129
23.4,0.1,0.9421850043128279,0.042167,0.02065,0.004825,0.574263,0.007458
23.4,0.5,2.316527236890028,0.042621,0.003425,0.000678,0.90159,0.00843
23.4,1.0,3.612726781869683,0.039381,0.001395,0.000283,0.937566,0.005513
23.4,1.5,4.801742268234903,0.036153,0.000766,0.000141,0.950681,0.003484
23.4,2.0,5.948167657883727,0.033749,0.00053,0.000105,0.959106,0.001994
23.4,2.5,7.072786376673603,0.030881,0.000368,6.8e-05,0.964894,0.000912
23.4,3.0,8.18458393495704,0.028967,0.000297,4.9e-05,0.968447,0.000357
23.4,3.5,9.288135608904476,0.026641,0.000222,4.7e-05,0.971459,0.000173
23.4,4.0,10.386092926253827,0.024678,0.000171,2.7e-05,0.973932,0.000114
23.4,4.5,11.480044225992113,0.022966,0.000172,2.2e-05,0.975921,5.3e-05
23.4,5.0,12.57106301663625,0.02134,0.000102,3e-05,0.97779,4e-05
26.7,0.1,0.8313987955599326,0.041811,0.020528,0.004758,0.576239,0.007502
26.7,0.5,2.0937527079609604,0.041582,0.003298,0.000649,0.903628,0.007336
26.7,1.0,3.3296990948483107,0.037564,0.001244,0.000238,0.940422,0.004202
26.7,1.5,4.484349638347841,0.033879,0.000766,0.000146,0.955542,0.002053
26.7,2.0,5.608118031608724,0.030408,0.000443,8e-05,0.963689,0.000763
26.7,2.5,6.716545275517851,0.027954,0.000311,3.9e-05,0.968757,0.000221
26.7,3.0,7.816155641456119,0.024979,0.00023,3.7e-05,0.972796,0.000102
26.7,3.5,8.910223754743187,0.022798,0.000169,3.3e-05,0.975495,7e-05
26.7,4.0,10.000539155300936,0.02089,0.00014,3.1e-05,0.977751,3.6e-05
26.7,4.5,11.088251727928386,0.019374,0.000119,1.7e-05,0.979583,2.5e-05
26.7,5.0,12.174007596357532,0.017983,7.7e-05,1.3e-05,0.981142,1.4e-05
30.0,0.1,0.7458592973900732,0.041641,0.020047,0.004883,0.576146,0.00741
30.0,0.5,1.9259365325065958,0.040552,0.003038,0.000556,0.905301,0.006383
30.0,1.0,3.120542014732844,0.035449,0.001104,0.00019,0.943821,0.002805
30.0,1.5,4.2527207513902345,0.030971,0.000606,0.000115,0.96001,0.000981
30.0,2.0,5.36216677762928,0.027272,0.000358,6.9e-05,0.96817,0.00019
